"field name";"english description";"russian description";format;linkid
structure-20180828;"Structure open data ""Open Register of Inventions of the Russian Federation""";"Структура набора открытых данных ""Открытый реестр изобретений Российской Федерации""";csv;
registration_number;"Patent number";"Регистрационный номер изобретения (номер патента)";csv;
registration_date;"Date of state registration";"Дата государственной регистрации";csv;
application_number;"Application number for state registration";"Номер заявки на государственную регистрацию";csv;
application_date;"Application date for state registration";"Дата подачи заявки на государственную регистрацию";csv;
authors;Authors;"Сведения об авторах";csv;
authors_in_latin;"Authors in Latin alphabet";"Сведения об авторах на латинице";csv;
patent_holders;"Patent holders";"Сведения о патентообладателе(ях)";csv;
patent_holders_in_latin;"Patent holders in Latin alphabet";"Сведения о патентообладателе(ях) на латинице";csv;
correspondence_address;"Correspondence address";"Адрес для переписки";csv;
correspondence_address_in_latin;"Correspondence address in Latin alphabet";"Адрес для переписки на латинице";csv;
invention_name;"Invention name";"Название изобретения";csv;
patent_starting_date;"Starting date of validity of the patent";"Дата начала отсчета срока действия патента";csv;
crimean_invention_application_number_for_state_registration_in_ukraine;"Application number for state registration in Ukraine of the invention from the Crimea at the moment of reunion of the Crimea and the Russian Federation";"Номер заявки в Украинский институт интеллектуальной собственности изобретения из Республики Крым, регистрация которого действовала на день принятия в Российскую Федерацию Республики Крым и образования в составе Российской Федерации новых субъектов";csv;
crimean_invention_application_date_for_state_registration_in_ukraine;"Application date for state registration in Ukraine of the invention from the Crimea at the moment of reunion of the Crimea and the Russian Federation";"Дата подачи заявки в Украинский институт интеллектуальной собственности изобретения из Республики Крым, регистрация которого действовала на день принятия в Российскую Федерацию Республики Крым и образования в составе Российской Федерации новых субъектов";csv;
crimean_invention_patent_number_in_ukraine;"Patent number of the invention from the Crimea at the moment of reunion of the Crimea and the Russian Federation";"Номер патента на изобретение из Республики Крым, действующего на день принятия в Российскую Федерацию Республики Крым и образования в составе Российской Федерации новых субъектов";csv;
receipt_date_of_additional_data_to_application;"Date of receipt of additional materials to a previously filed application";"Дата поступления дополнительных материалов к ранее поданной заявке";csv;
date_of_application_to_which_additional_data_has_been_received;"Date of application to which additional data has been received";"Дата подачи заявки, к которой поступили дополнительные материалы";csv;
number_of_application_to_which_additional_data_has_been_received;"Number of application to which additional data has been received";"Номер заявки, к которой поступили дополнительные материалы";csv;
initial_application_number;"Number of initial application for divisional application";"Номер первоначальной заявки, из которой выделена заявка, по которой произведена государственная регистрация";csv;
initial_application_date;"Date of initial application for divisional application";"Дата подачи первоначальной заявки, из которой данная заявка выделена";csv;
initial_application_priority_date;"Priority date of initial application for divisional application";"Дата приоритета первоначальной заявки, из которой данная заявка выделена";csv;
previous_application_number;"Number of previous application";"Номер ранее поданной заявки";csv;
previous_application_date;"Date of previous application";"Дата подачи ранее поданной заявки";csv;
paris_convention_priority_number;"Date of the first application in the state member of the Paris Convention for the Protection of Industrial Property";"Дата подачи первой заявки в государстве - участнике Парижской конвенции по охране промышленной собственности";csv;
paris_convention_priority_date;"Number of the first application in the state member of the Paris Convention for the Protection of Industrial Property";"Номер первой заявки в государстве - участнике Парижской конвенции по охране промышленной собственности";csv;
paris_convention_priority_country_code;"Country code of the first application in the state member of the Paris Convention for the Protection of Industrial Property";"Код страны подачи первой заявки в государстве - участнике Парижской конвенции по охране промышленной собственности";csv;
pct_application_examination_start_date;"Examination start date of PCT application in the national Intellectual Property Office";"Дата начала рассмотрения заявки РСТ на национальной фазе";csv;
pct_application_number;"Number of PCT application";"Номер PCT заявки";csv;
pct_application_date;"Filing date of PCT application";"Дата подачи PCT заявки";csv;
pct_application_publish_number;"Publish number of PCT application";"Номер публикации PCT заявки";csv;
pct_application_publish_date;"Publish date of PCT application";"Дата публикации PCT заявки";csv;
ea_application_number;"Number of the Eurasian application";"Номер евразийской заявки";csv;
ea_application_date;"Filing date of Eurasian application";"Дата подачи евразийской заявки";csv;
ea_application_publish_number;"Publish number of the Eurasian application";"Номер публикации евразийской заявки";csv;
ea_application_publish_date;"Publish date of Eurasian application";"Дата публикации евразийской заявки";csv;
application_publish_date;"Publish date of information about the application";"Дата публикации сведений о заявке на изобретение";csv;
application_publish_number;"Paper publication of information about the application";"Номер бюллетеня публикации сведений о заявке на изобретение";csv;
patent_grant_publish_date;"Publish date of information about the grant of patent";"Дата публикации сведений о выдаче патента";csv;
patent_grant_publish_number;"Paper publication of information about the grant of patent";"Номер бюллетеня публикации сведений о выдаче патента";csv;
revoked_patent_number;"The number of revoked patent which was partially invalidated";"Номер аннулированного патента, признанного недействительным частично";csv;
information_about_the_obligation_to_conclude_contract_of_alienation;"Information about the obligation to conclude contract of alienation";"Сведения о поданном в соответствии с пунктом 1 статьи 1366 Кодекса заявлении об обязательстве заключить договор об отчуждении патента";csv;
expiration_date;"Expiration date";"Срок истечения действия патента";csv;
invention_formula_numbers_for_which_patent_term_is_prolonged;"The numbers of invention formula, for which the parent term is prolonged";"Номер(а) пункта(ов) формулы изобретения, в отношении которого(ых) продлен срок действия патента";csv;
additional_patent;"Additional patent on invention has been issued";"Выдан дополнительный патент на изобретение";csv;
actual;"Patent is valid or is not valid";"Признак действия правовой охраны";csv;
publication_url;"URL of publication in the FIPS Open Registers";"URL публикации в открытых реестрах сайта ФИПС";csv;
