"field name";"english description";"russian description";format;linkid
structure-20180828;"Structure open data ""Open Register of Industrial Designs of the Russian Federation""";"Структуры набора открытых данных ""Открытый реестр промышленных образцов Российской Федерации""";csv;
registration_number;"Patent number";"Регистрационный номер промышленного образца (номер патента)";csv;
registration_date;"Date of state registration";"Дата государственной регистрации";csv;
application_number;"Application number for state registration";"Номер заявки на государственную регистрацию";csv;
application_date;"Application date for state registration";"Дата подачи заявки на государственную регистрацию";csv;
authors;Authors;"Сведения об авторах";csv;
authors_in_latin;"Authors in Latin alphabet";"Сведения об авторах на латинице";csv;
patent_holders;"Patent holders";"Сведения о патентообладателе(ях)";csv;
patent_holders_in_latin;"Patent holders in Latin alphabet";"Сведения о патентообладателе(ях) на латинице";csv;
correspondence_address;"Correspondence address";"Адрес для переписки";csv;
correspondence_address_in_latin;"Correspondence address in Latin alphabet";"Адрес для переписки на латинице";csv;
industrial_design_name;"Industrial design name";"Название промышленного образца";csv;
patent_starting_date;"Starting date of validity of the patent";"Дата начала отсчета срока действия патента";csv;
crimean_industrial_design_application_number_for_state_registration_in_ukraine;"Application number for state registration in Ukraine of the industrial design from the Crimea at the moment of reunion of the Crimea and the Russian Federation";"Номер заявки в Украинский институт интеллектуальной собственности промышленного образца из Республики Крым, регистрация которой действовала на день принятия в Российскую Федерацию Республики Крым и образования в составе Российской Федерации новых субъектов";csv;
crimean_industrial_design_application_date_for_state_registration_in_ukraine;"Application date for state registration in Ukraine of the industrial design from the Crimea at the moment of reunion of the Crimea and the Russian Federation";"Дата подачи заявки в Украинский институт интеллектуальной собственности промышленного образца из Республики Крым, регистрация которой действовала на день принятия в Российскую Федерацию Республики Крым и образования в составе Российской Федерации новых субъектов";csv;
crimean_industrial_design_patent_number_in_ukraine;"Patent number of the industrial design from the Crimea at the moment of reunion of the Crimea and the Russian Federation";"Номер патента на промышленный образец из Республики Крым, действующего на день принятия в Российскую Федерацию Республики Крым и образования в составе Российской Федерации новых субъектов";csv;
receipt_date_of_additional_data_to_application;"Date of receipt of additional materials to a previously filed application";"Дата поступления дополнительных материалов к ранее поданной заявке";csv;
date_of_application_to_which_additional_data_has_been_received;"Date of application to which additional data has been received";"Дата подачи заявки, к которой поступили дополнительные материалы";csv;
number_of_application_to_which_additional_data_has_been_received;"Number of application to which additional data has been received";"Номер заявки, к которой поступили дополнительные материалы";csv;
initial_application_number;"Number of initial application for divisional application";"Номер первоначальной заявки, из которой выделена заявка, по которой произведена государственная регистрация";csv;
initial_application_date;"Date of initial application for divisional application";"Дата подачи первоначальной заявки, из которой данная заявка выделена";csv;
initial_application_priority_date;"Priority date of initial application for divisional application";"Дата приоритета первоначальной заявки, из которой данная заявка выделена";csv;
previous_application_number;"Number of previous application";"Номер ранее поданной заявки";csv;
previous_application_date;"Date of previous application";"Дата подачи ранее поданной заявки";csv;
paris_convention_priority_date;"Number of the first application in the state member of the Paris Convention for the Protection of Industrial Property";"Номер первой заявки в государстве - участнике Парижской конвенции по охране промышленной собственности";csv;
paris_convention_priority_number;"Date of the first application in the state member of the Paris Convention for the Protection of Industrial Property";"Дата подачи первой заявки в государстве - участнике Парижской конвенции по охране промышленной собственности";csv;
paris_convention_priority_country_code;"Country code of the first application in the state member of the Paris Convention for the Protection of Industrial Property";"Код страны подачи первой заявки в государстве - участнике Парижской конвенции по охране промышленной собственности";csv;
patent_grant_publish_date;"Publish date of information about the grant of patent";"Дата публикации сведений о выдаче патента";csv;
patent_grant_publish_number;"Paper publication of information about the grant of patent";"Номер бюллетеня публикации сведений о выдаче патента";csv;
revoked_patent_number;"The number of revoked patent which was partially invalidated";"Номер аннулированного патента, признанного недействительным частично";csv;
expiration_date;"Expiration date";"Срок истечения действия патента";csv;
numbers_of_list_of_essential_features_for_which_patent_term_is_prolonged;"The numbers of list of essential features, for which the parent term is prolonged";"Номер(а) пункта(ов) перечня существенных признаков, в отношении которого(ых) продлен срок действия патента";csv;
industrial_designs_names_and_number_for_which_patent_term_is_prolonged;"Numbers and names of industrial designs, for which the parent term is prolonged";"Номер(а) и название(я) промышленного(ых) образца(ов), в отношении которого(ых) продлен срок действия патента";csv;
actual;"Patent is valid or is not valid";"Признак действия правовой охраны";csv;
publication-url;"URL of publication in the FIPS Open Registers";"URL публикации в открытых реестрах сайта ФИПС";csv;
